idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
TAG(I)GA SUV QUYMOQ,kim? kimning?,"amalidan, obro’-e’tiboridan mahrum qilmoq, yo’q bo’lib ketish darajasiga yetkazmoq.",,,,bosh(i)ga suv quymoq,,,"Jo’raboy, uka, unaqa katta ketma. Hammang bir bo’lib Umarbekning tagiga suv quymoqchisizlarmi? Yo’q, ish degan unaqa bo’lmaydi.",S.Ahmad,Qadrdon dalalar
TAGIGA YETMOQ,kim? nimaning?,"mohiyatini, sababiyatini oxirigacha aniqlab, anglab olmoq.",,,,,,,"dir qo’ltig’iga suv purkayapti. Albatta, buning tagiga yetaman. Samovarchining javobi Marahimga chuqur piching bo’lsa kerak, ammo men uning tagiga yetolmadim.",Sh.Rizo,"Qor yog’di, izlar bosildi"
ETMOQ,,"bardosh bermoq, chidamoq. sabr-toqat qilmoq; sabr-toqat bilan kutmoq.",1,,TAHAMMUL QILMOQ,,,,"Bek... yana yarim soatga tahammul qilsangiz, oshni yeb, yo’lga tushasiz.",А.Qodiriy,O’tgan kunlar
ETMOQ,,kifoyalanmoq.,2,,,,,,"Tushda ishtaha bo’lmay, qovun bilangina tahammul qilganlaridan, qorin och, buning ustiga-ustak, jazirama oftob.",I.Qalandarov,Shoxidamas bargida
TAHLIKAGA SOLMOQ,kim? nimani?,tahlika qilishiga sabab bo’lmoq; tahlikali holatga qo’ymoq.,,,,,,,Laqma Nazirqul o’z jonini tahlikaga solib uning istaklarini ro’yobga chiqardi.,S.Ahmad,Hukm
TAHSIN O’QIMOQ,kim? kimga,? yuksak baho berib maqtamoq.,,,,,,,"Men cho’lda ro’y berayotgan bu hodisalarni, cho’l bag’riga qo’l solib, uning yashirgan boyliklarini tortib olayotgan bu tanti, mard odamlarni ko’rib, yuragimdan ularga tahsin o’qidim.",S.Ahmad,Lochin
"TAKA BO’LSIN, SUTI BO’LSIN",,"qanday yo’l bilan borilsa ham, ijobiy, foydali yakunlansin.",,,"taka bo’lsin-u, sut bersin",,,,"«Kichkina xizmat, biroq tushumi chakki emas, – dedi Boqijon ko’zlarini ma’nodor qisib, – taka bo’lsin, suti bo’lsin...» Maqsad – diplom olish. U yog’i baribir: Taka bo’lsin-u, sut bersin.",P.Qodirov,Uch ildiz
TALVASAGA SOLMOQ,kim? kimni?,kuchli qo’rquv aralash ruhan ezmoq.,,,,,,,"Qiltiriq maxsum juda azob chekdi, anchagacha o’ziga joy topolmay yurdi... Xo’jayinning titrab-qaqshaganidan, shum xabarni aytib, uni talvasaga solib qo’yganidan azob chekdi. Xo’jayinni bu holda ko’rish unga har qanday haqoratdan ham og’ir edi.",A.Muxtor,Opa-singillar
TALVASAGA TUSHMOQ,kim,? kuchli qo’rquv aralash ruhan ezilmoq.,,,,,,,"Xolmurodni to’satdan vahima bosdi. Onasi xuddi shu ondayoq o’lib qolayotgandek talvasaga tushib, uning qo’llariga yopishdi.",P.Tursun,O’qituvchi
TAN BERMOQ,kim? nimaga? yoki kimga,"? e’tirof qilishga majbur bo’lmoq, rozi bo’lmoq.",,,,,,,"Sizlar shirin xayolga mast bo’lib, darrov cho’lda bog’ qilmoqchi bo’ldingiz. Hali oldingizda katta balandliklar turibdi. Og’ir mehnat bilan achchiq ter to’kib, keyin hushingizga kelasiz, Salim akaning so’zi haq deb tan berasiz. . Bu yerda o’rtoq Ergashevning hushyorligiga tan berish kerak",A.Qahhor,Munofiq
TAN OLMOQ,kim? nimani? yoki kimni?,e’tirof qilmoq.,,,tan; olinmoq,bo’yn(i)ga olmoq 1,,,"Bilar ekansiz... Bizning boboy ovqatlardan faqat palovni, rahbarlardan faqat o’rtoq Qodirovni, dorilardan faqat penitsillinni tan oladilar. . Ozroq don so’ratib yuboribdilar. Yo’q deyolmovdim. Endi taftish komissiyasi tan olmayapti. Hamma tomonidan tan olindi va shubhasiz fakt qatoriga kiritildi.",P.Qodirov,Uch ildiz
TANA QO’YMOQ,nima?,poya qismi gurkirab o’sa boshladi.,,,,,,,"Xayriyatki, yog’ingarchilikning turgan-bitgani zarardan iborat bo’lmadi; uning foydasi shu bo’ldiki, chigit yerning namiga unib chiqdi. G’o’zalar tekis tana qo’ydi. Shuning o’zi besh kunlik qoloqlikni ko’tarib ketdi. .",,
TANA(SI)GA O’YLAB QARAMOQ (KO’RMOQ),kim? [o’zining],chuqur mulohaza yuritmoq.,,,,,,,"Xaloyiq, o’zlaring axir tanalaringga o’ylab ko’ringlar, mana biz, o’tgan gal saylab qo’ygan ulug’laring, shu choqqacha dehqonlar, qishloq fuqarosining yarasiga malham bo’lib kelamiz.",,
TANBEH BERMOQ,kim? kimga?,"yengil-yelpi jazolamoq, urishib qo’ymoq.",,,tanbeh(i)ni berdirmoq; ta’zir(i)ni bermoq,,,,"Keyin u o’ziga o’zi tanbeh berdi: «Yomonlikni tilga olma, Normat, bunday bo’lishi mumkin emas». Bir mo’minning mashaqqat bilan topgan moli senday badbaxtlarning qo’lida shunday talon-toroj bo’lib yuribdimi. Qoraxo’jani ko’rib, senlarning yaxshilab tanbehingni berdirib qo’yaman",I.Rahim,Chin muhabbat
TANIM BORINCHA,,[tänim barïnča] tar.,,,,,,,"Tanim borincha sendin yuz jovurman, Eshiking tuproqindin bosh ko’turman.",,
TANIMDA JON BORINCHA,,[tänimdä ǯan barïnča] tar.,,,,,,,"Tirik bo’lung shaho davron borincha, Qulunguzmen tanimda jon borincha.",,
