idiom,syntax_markers,meaning_uz,meaning_number,homonym_number,variants,synonyms,antonyms,register_note,example_uz,source_author,source_work
DAHMAZA BO’LMOQ,kimga?,ortiqcha tashvish.,,,,,,,Bu odam ham menga dahmaza bo’ldi-da. Nima qilishga hayronman…,,
DAKKI BERMOQ,kim? kimga?,"nojo’ya ishi, xatti-harakati uchun achchiq gap, tanbeh so’zlari aytmoq.",,,,dashnom bermoq,dakki yemoq,,"Ba’zan o’ylamay bir ish qilib qo’yasan-da, keyin pushaymon bo’lib, o’zingga o’zing dakki berib yurasan kishi. «Bu ham menga dakki beradimi?!» – dedim-da, Hilolaning tarafini oldim.",I.Rahim,Hilola
DAKKI YEMOQ,kim? kimdan?,"nojo’ya ishi, xatti-harakati uchun achchiq gap, tanbeh so’zlari eshitmoq.",,,dakki(si)ni yemoq,,dakki bermoq; dashnom bermoq,,"Qizingiz siz singari yig’lab, har kimning dakkisini yeb yurmasin. Egamberdi bilan Karimberdidan dakki yeb, goho kaltak ham yeb yurgan Isroil bilan G’ulom g’uppalar, buning ustiga biron aybini bo’yniga qo’yib jazolay olmagan, jazolay olmagani uchun alami oshib yurgan uchastka noziri Erkayev birlashib oldilar.",S.Zunnunova,Yangi direktor
DALI-G’ULI,,"ochiq, hush-chaqchaq.",,,DALDA BERMOQ,,,,"O’rtog’im birdan kulib yubordi, o’zi juda serzavq, dali-g’uli, sho’x bola. Nahoti tushunmasang? Axir biror marta xiyonat qilganmidim? Dali-g’uliligimdan bo’lak aybim yo’q-ku?! Yo bormi?",,
DALLOLLIK QILMOQ,kim?,"o’rinsiz aralashmoq, vositachilik qilmoq.",,,,,,,"U onda-sonda bo’lsa-da, bozorda dallollik qilishni hech kanda qilmadi…",Mushtum.,
DALOLAT BERMOQ,nima? kimga? nimadan?,ba’zan,,,,,,,Uning har bir beti zax okoplarda qo’ldan qo’lga o’tib o’qilganidan dalolat berardi Bu galgi ishi hammamizni bab-barobar ko’rayotganidan dalolat berardi.,I.Rahim,Hilola
DAM BERMOQ,kim? nimaga?,havo oqimini kuch bilan haydab kiritmoq.,,I,,,,,"Keyin pista ko’mir solib, quvuriga mahsi kiydirib dam berdi Ularni [temirlarni] muloyimlash uchun juda ko’p miqdorda dam berish, qizdirish va taqa shakliga keltirish uchun juda ko’p azoblanib bolg’a urish kerak bo’lar edi.",S.Ahmad,Hukm
DAM BERMOQ,kim? kimga? yoki nimaga?,istirohat qilishga imkon bermoq.,,II,,,,,"Uy yumushlaridan charchagan kezlarimda chaqaloqni birpasgina ovutib, menga dam berarmikan?.. Ko’nglingni kengroq qil, oshiqma, asabingga biroz dam ber",A.Muxtor,Tug’ilish
DAM BO’LMOQ,kim?,"ovoz chiqarmaslik, indamay qo’yish, gapirmaslik.",,,,,,,"– Dam bo’l, zumrasha, – deb ona qiziga zug’um qilardi.",,
DAM OLMOQ,kim?,istirohat qilmoq.,,,dam(i)ni olmoq; hordiq olmoq,,,,"Ikkala professor idoradan olib chiqilgan stullarga o’tirishdi. Gullarni tomosha qilib, yoyilib dam ola boshlashdi. Cho’ponlar ham odam axir! Dam olishni, muzika eshitishni kim istamaydi deysiz! «O’tir, biroz damingni ol», – dedi kampir Slavikni bag’riga olib. 24-xonaga kirib, dam olishmoqchi shekilli, yechinib, yumshoq ko’rpalar, paryostiqlar to’shalgan karavotlarga cho’zilishdi.",I.Rahim,Chin muhabbat
DAM SOLDIRMOQ,kim? kimga?,"davolash niyati bilan duo o’qib, «kufsuf» qilmoq (diniy).",,,DAM SOLMOQ,,,,"Eski turmushning butun yomon sarqitlarini yo’qotmoq uchun kurash olib borayotgan chog’imizda siz u bangini uyingizda ziyofat qilasiz, dam soldirasiz! Ertalabki namozdan keyin qori pochcham dami chiqib ketib kasal bo’lgan kishilarga bismillo deya yenglarini shimarib dam solishga tushib ketdi",,
DAM URA BILMASLIK,,[dӓm ura bilmä=] tar.,,,,,,,"Qatinda dam ura bilmas, yo’qinda g’iybatin so’zlar.",S.Saroyi,Gulistoni bit-turkiy
DAM YEMOQ,nima?,damlangandan keyin o’z bug’i bilan yetilmoq.,,,,,,,"Ehtimol, bu ishning hali mavridi kelmagandir. Olma pishsa, tegiga tushadi, qovun yetilsa, dum beradi, osh dam yemasa, tirik qoladi, deyishadi.",S.Abduqahhor,Hayotning boshlanishi
DAM YEDIRMOQ,kim? nimaga?,me’yoriga yetishiga imkon bermoq.,,,,,,,"– Peshindan kechga qolmang. Men oshni dam yedirib, sizni kutib o’tiraman.",,
DAM O’TMAY,,juda qisqa vaqt oralig’ida.,,,,,,,"Uy egasi, ko’hna bisot boy, dam o’tmay hammasini hozir qildi. Dam o’tmay Xarisovni olib kelishdi. Bo’limning ikki xodimi chiqib ketdi.",T.Malik,Charxpalak
DAST BERMOQ,,[däst ber] tar.,,,,,,,"Javob kutti bo’lub u ishq aro mast, Vale taqdir kulib tez bermadi dast.",S.Saroyi,Gulistoni bit-turkiy
DAVR YETMOQ,,"[dävr jet=] tar. vaqti kelmoq, kutilgan kun kelmoq.",,,,,,,"Falak aylamasi-la davr yetgay, Adolat urlug’umdin baxt bitg’ay.",S.Saroyi,Suhayl va Guldursun
DAVRON SURMOQ,,[dävran sür=] tar.,,,davrin surmoq,,,,"Ul biri davlat bilan davron surar, Bu biri o’tdin o’zin bir yon surar.",S.Saroyi,Gulistoni bit-turkiy
DAM(I) CHIQMOQ,kimning?,mullalar tomonidan o’qilgan duoning kuchi ketmoq.,,,,,,,Ertalabki namozdan keyin qori pochcham dami chiqib ketib kasal bo’lgan kishilarga bismillo deya yenglarini shimarib dam solishga tushib ketdi,,
DAM(I)NI CHIQARMASLIK,kim? [o’zining],"hech narsa demaslik, indamaslik.",,,DAM(I) CHIQMADI; nafas(i) chiqmadi,,,,"Shuni bolalarga aytsam, hech qaysisining dami chiqmaydi. Kamol bilan Zuhra bo’lsa piq-piq kulishadi, xolos. Bir mahalladan bir qizni olib qochishdi. Boyvachchaning xizmatkorining qizi emish... Damingni chiqarma!",H.Nazir,Lola
DAM(I) ICH(I)DA,kimning?,oshkor bo’lishidan qo’rqib gapirmaslik; imkonsizlikdan biror narsa deya olmaslik.,,,,,,,"Er-xotinning dami ichida, undan-bundan so’rab-surishtiraylik deyishsa, gap-so’z tarqab ketadi. Sirdan voqif xotinlar, damlari ichida, bir narsa deb yuborishdan qo’rqib, o’zlarini hech nima bilmaslikka solishardi.",S.Zunnunova,Gulxan
DAM(I) ICH(I)DA QOLDI,kimning?,bir so’z ham ayta olmay qolmoq.,,,,,,,"Zavqiyning bu daliliga Mo’ydin maxsum javob qaytarolmay, dami ichida qola beradi, ammo undan, albatta, o’ch olish payiga tushadi.",Sh.Rizo,O’ch
DAM(I)DA OSH PISHADI,kimning?,"o’ta darajada kekkayib, kibrhavoli bo’lmoq.",,,,dimog’(i)ga qurt tushdi; dimog’(i)dan eshak qurti yog’iladi; dimog’(i)da osh pishadi,,,"Damingda osh pishadi-ya, Dadajon. Soqol oqargandan keyin sen bilan bizning polvonligimiz qoldimi?!",I.Rahim,Ixlos
DAMIGA TORTMOQ,kim? kimni?,"tobe qilib olmoq, bo’ysundirmoq, o’z ta’siriga olmoq, ilintirmoq. –",,,,,,,"Bizni ilonday avrab damiga tortayotganlar kimlar? – Nu’mon xoji, Mirhaydar xo’ja, Oqilxon to’ralar.",A.Qahhor,Qo’shchinor chiroqlari
DAMIDAN TUSHMOQ,kim?,"mo’min bo’lib qolmoq, oddiylashmoq.",,,,,,,"Hali xomsan, pisharsan, bu damingdan tusharsan.",Maqol.,
DAMINGNI O’CHIR!,,jim bo’l.,,,,,,,"– E, damingni o’chirsang-chi, rosa bezor qilding-ku, bizni…",,
DAM(I)NI BOSMOQ,kim? kimning?,temirchilik qo’rasiga havo yuborib turmoq.,,I,dam bosmoq; II; dam(i)ni ich(i)ga tushirib yubor,,,,"Asrorqul uning damini bosib, bo’lak ishlariga qarashib, do’konida yotib yurdi. Aqlini tanibdiki, dadasiga ko’maklashdi, ustaxonada dam bosdi.",S.Anorboyev,Oqsoy
DAM(I)NI ICH(I)GA YUTMOQ,kim? [o’zining],hech qanday tovush chiqarmaslik.,,,dam(i)ni yutmoq; nafas(i)ni ich(i)ga yutmoq; dam(i)ni ich(i)ga olmoq; nafas(i)ni; ich(i)ga olmoq,,,,"Damini ichiga yutib, oyog’ining uchida yurib yaqinlashdi. ... tepib uyg’otganini bilib, achchig’i qistasa ham, mehmonlar oldida damini yutib turadi. Qirg’oqda nafasini ichiga yutib kuzatib turgan quruvchilar birdan jonlanib, qichqira boshladilar. «Hakimov buni oldindan sezgan ekan-da», – deb damini ichiga olib o’ylanardi. Tarafkashlar nafaslarini ichlariga olib, titrab-qaqshab itlarning har bir harakatini ta’qib qildilar.",P.Qodirov,Uch ildiz
DAM(I) KESILDI 1,kimning?,gapirtirmaslik.,,,DAM(I)NI KESMOQ; nafas(i) kesildi; II,,,,"Valixonning qo’l siltab rad qilganini ko’rgan, dami kesilib, og’zini ochganicha tek qarab qoldi. «Kim gumon qiladi?» – «Olimxon ellikboshi». Salimboyvachchaning nafasi kesildi. Boshini ikki qo’li orasiga olib jim bo’ldi.",Sh.Toshmatov,Erk qushi
DAMI KESILDI,nimaning?,"ta’sir kuchini qaytarmoq, yo’qotmoq.",,II,DAMINI KESMOQ; damini bosmoq II,,,,"Issiqning va yog’liq ovqatlarning damini kesish uchun hech kim piyoladan, choynakdan qo’l uzmas edi. Ana shu kambag’allar, ezilgan mehnatchilar birikib, bir yoqadan bosh chiqarib harakat qilishsa, zulmning dami kesilmay qolmaydi.",M.Ismoiliy,Farg’ona tong otguncha
DAQQI BO’LIB QOLGAN,kim?,"ishdan bezor bo’lib, ishyoqmas bo’lib qolish.",,,,,,,"E, nimasini aytasiz, xizmatkorlar daqqi bo’lib qolganmi, deyman, biror ish aytsang, betga sapchiydi",,
DAQYUNUSDAN BERI,,juda qadimdan.,,,,almisoqdan be­ri,,,Daqyunusdan beri shu turishi – turish.,A.Muxtor,Opa-singillar
DAQYUNUSDAN QOLGAN,,"juda eski, qadimgi.",,,daqqiyunusdan qolgan; doqiyunusdan qolgan,almisoqdan qolgan; Odam; Atodan qolgan,,,"Men bolalarni Qudratilla qori singari yangi usulda o’qitishni bilmaganim uchun daqyonusdan qolgan usul bilan o’qitar edim. Gulnor doqiyunusdan qolgan kavushni kiyib, chirik paranjiga o’ralib, Yo’lchi bilan jo’nadi.",M.Muhammadjonov,Turmush urinishlari
DARAJASI BALAND,kimning?,yuqori martabali.,1,,,,,,"Uning darajasi balandga o’xshaydimi, deyman, yurishini qarang",,
DARAJASI BALAND,kimning?,temperaturasi yuqori.,2,,,,,,Baland darajadagi isitma bolaga sudurgi berishi mumkin.,,
DARAJASI BALAND,kimning?,mast.,3,,,,,,"Arang qadam tashlashidan, tebranib yurishidan otasining darajasi ancha balandligini anglab, sekin yonidan kirdi va uy tomonga boshladi",,
DARAK BERMOQ,nima? [kimga?] nimadan? kim? kimga? [nimadan?],"sezdirmoq, bildirmoq.",,,,,,,"To’g’ri, ayrim dalalar borki, ko’ngilni g’ash qiladi, xavf-xatardan darak beradi. Obid Yo’ldoshevichning ko’zlarida norozilikdan darak beruvchi bir ifoda paydo bo’ldi.",P.Qodirov,Uch ildiz
DARAK BO’LMOQ,kimdan?,"xabar yubormoq, kelmoq.",,,,,,,"Oysha, akangdan darak bo’lmadi-ku? – deb so’radi oyim.",,
DARAK [DARAGINI] TOPMOQ,kim? kim haqida? yoki nima haqida?,"biror to’g’rida xabar, ma’lumot eshitmoq.",,,,,,,Otam shu kuni …xursand edi. Marg’ilonlik hojilardan darak topibdi.,M.Ismoiliy,Farg’ona tong otguncha
DARD TEGMOQ,kimga?,kasallanmoq; noma’qul narsaga ishqibozlik qilmoq.,,,,,,,"– Bolamga qattiq dard tekkanga o’xshaydi, Eshon pochcha. Bir kuf-suf qilmasangiz bo’lmaydi.",Mushtum.,
DARD TUTMOQ,kimni?,to’lg’oq tutmoq.,,,,,,,"Shu keliningizning dardi tutib qolsa bo’ladimi, doya xotin topilmasa, mashinada Zarkentga oborib tashlasam degan edim.",,
DARD-U ALAMINI YOZMOQ,kim?,xafagarchilikdan qutulish chorasini qilmoq.,,,,,,,"Hasan ovchi ham o’zi kabi g’ariblarning ko’rgan kunlariga afsuslanganicha tez-tez qadam bosar, shu bilan ko’nglidagi dard-u alamini yozmoqchiday edi.",Sh.Toshmatov,Erk qushi
DARD USTIGA CHIPQON BO’L,,mavjud g’am-alami ustiga ustak yangi g’am-alam qo’shildi.,,,,,,,"Zohidaxonning gapi dard ustiga chipqon bo’ldi. Keyingi kelishida Tamaradan gapirib berdi-yu, ammo dard ustiga chipqon bo’lmasin deb, Timofeydan eshitgan xabarini aytmadi. Badnafs shayxning bu so’zi Mahmud akaning dardi ustiga chipqon bo’ldi.",N.Maqsudiy,Bola yo’qotgan kishi
DARDDAN CHIQMASLIK,,doim kasal bo’lmoq.,,,,,,,Keyingi yillarda ularning oilasi darddan chiqmay qoldi…,,
DARDGA CHALINMOQ,kim?,kasallanmoq.,,,,,,,"U tizzalab ho’l latta bilan stol tagini artar ekan, «Endi sira chektirmayman, bunaqada dardga chalinib qoladi», – deb dildan o’tkazdi. O’t qo’yishga moyillik dardiga chalingan biror yerga o’t qo’yib, yong’in chiqarib, shundan miriqmasa xumoridan chiqmaydi.",S.Ahmad,Oydin kechalar
DARDI ARIMOQ,kimning?,"sog’aymoq, tuzalib ketmoq.",,,,,,,"Bir nevarasi Rajabbek uch ming bemorni operatsiya qilib, dardini aritibdi.",,
DARDI BALAND,,"og’ir kasal, og’ir ahvolga tushib qolish.",,,,,,,"– E, nimasini so’raysiz, aka, Zamiraning dardi juda baland…",,
DARDI BEDAVO,kim? yoki nima?,"epaqaga kelmaydigan, qutulish qiyin, daxmaza.",,,,,,,"Jonimni sug’urib olguday bo’ldi Ashirmat. Boshimni egib, churq etmay o’tiraverdim. Dardi bedavo bo’ldi bu... Boboqul ota bosh chayqadi: «Uf-f, dardi bedavo bo’ldi-ku bularing.",S.Anorboyev,Oqsoy
DARDI BOR,,"maxfiy gapi bor, ishi bor.",,,,,,,"– Yuragingda shuncha darding bor bo’la turib, shu kungacha ochilmaganingga hayronman, odam ham shunaqa landovur bo’ladimi? Feruzani boshqa birov ilib ketsa, nima qilasan? E attang, shu darding bor ekan, bir hafta oldin aytmaysanmi?",S.Anorboyev,Oqsoy
DARDI ICHIDA,kimning?,jur’at qilib atya olmay yurishlik.,,,,,,,"Sevgan, ahdi paymonlar bilan tekkan erini tashlab keldi. Dardi ichida. Na ona, na ota unga botinib gapira oladi. – Menga hech narsa demadi-ku, ammo uning ham dardi ichida. Rangi-ro’yi olingan. Shunday dilgir ko’rinadiki, hozir hech qayerga sig’may qolgan.",K.Yashin,Gulsara
DARDI XARINA,,"qutulib bo’lmaydigan, tashvishli.",,,,,,,"E, bu dardi xarinadan qachon qutulasiz. Shundan gapiring-da, aka.",Mushtum.,
DARDI YENGILLAMOQ,,"sog’aya boshlamoq, o’zini yengil his qilmoq.",,,,,,,"– Biroz yig’lay, dardim yengillashadi. Ichimni bo’shatib olay.",S.Ahmad,Turnalar
DARDI ZO’R,,"og’ir kasal, og’ir ahvolda qolmoq.",,,dardi; qat­tiq,,,,"– Bechoraning dardi zo’r, – Yo’ldosh tirsagiga suyanib yonboshladi-da, Sheraliga qaradi. – Ashulangni ayta ber, og’ayni, bari bir hech kim uxlayotgani yo’q",,
DARDIDA YURMOQ,,ishini bitira olmay yurish.,,,,,,,Revizor ketgandan so’ng uning kechagi ishini bir yoqli qilish dardida yurib oyoqlari rosa charchadi. Lekin hech ishi yurishmadi…,Mushtum.,
DARD(I)GA DARMON BO’LMOQ,kim? kimning?,boshiga mushkul ish tushganda qo’llab-quvvatlamoq.,,,,yara(si)ga malham; bo’l­moq,,,"Endi yaxshi kunlar kelganda, dardiga darmon bo’lgan o’sha eski qadrdonlarini tashlab ketsa, qanday bo’ladi?",S.Anorboyev,Oqsoy
DARDIGA DAVO QILMOQ,kim?,zaruriga ishlatmoq.,,,,,,,"– Hisobga to’g’ri bo’lsin: «Bir ming to’rt yuz tanga kerak!» de, ortganini yana biror dardingga davo qilarsan.",S.Ayniy,Sudxo’rning o’limi
DARDIGA DAVO TOPMOQ,,istaganini topib olmoq; sog’aymoq.,,,,,,,"Bemorlar qumga, tuproqqa tushib, dardiga davo topadi.",,
DARDINI BILMOQ,kim? kimning?,nima maqsadda yurganligini bilmoq.,,,,,,,"Bu odam Ehson kelgan kundan uning dardini biladi. Bu yigit ilmni mamlakat xizmatiga qo’ymoqchi, o’zi katta bir ilm ahli bo’lish taraddudida…",A.Qahhor,Sarob
DARDINI ICHIGA YUTMOQ,kim?,ayta olmay yurishga majbur bo’lmoq.,,,,,,,"Urush-janjal ko’paymasin deb, butun dardimni ichimga yutaman Akam dardini ichiga yutib yurgan ekan, keyinchalik uni menga aytdi",Q.Maksumov,Muhabbat qo’shig’i
DARDINI OCHMOQ,kim? kimga?,biror maqsadini aytmoq.,,,,,,,Toshtemir bilan Hanifa bir-birlarini sevib qoldilar. Lekin Toshtemir qizga muhabbatini ayta olmay bir necha yil qiynalib yurdi. Toshtemir axir Ivan akaga dardini ochdi.,,
DARDINI QO’ZG’AMOQ,kim? kimning?,o’tmish voqeani eslatmoq.,,,,,,,"Bu fikr uning qalbida yoqimli bir dardni qo’ zg’ab, qizga qattiq bog’langanini va uning iltifotidan mahrum bo’lish o’zi uchun o’limdan ham og’irroq bo’lishini bildi.",S.Ayniy,Dohunda
DARD(I)NI YORMOQ,kim? kimga?,tashvishga solib yurgan yashirin ish-o’ylarini o’ziga yaqin olib aytmoq.,,,rozi; yorilmoq,,,,"Ana xolos! Gapni toza odamiga aytgan ekanman-da. Men yaqin jo’ram deb dardimni senga yorsam, sening parvoying falak.",S.Nazar,Yashil boylik
DARDISAR BO’LMOQ,kimga?,"ovvora qilib qo’ymoq, ko’tara tashvish bo’lmoq.",,,,,,,– Kechagi voqeani bir yoqli qilish ham menga dardisar bo’ldi.,,
DARIG’ TUTMOQ,kim? nimani? kimdan?,qizg’anmoq; noloyiq deb bilmoq.,,,,,,,"Mezbon uzoq yo’ldan kelgan mehmonni ochiq chehra bilan qarshi olmasa, bir piyola choyini darig’ tutsa,.. mehmonning qay holatda qolishini tasavvur qila olasizmi?",A.Qahhor,Mirzo
DARMON BO’LMOQ,kimga?,quvvatlanmoq.,,,,,,,Ikki og’iz shirin so’zing ularga bir yil darmon bo’ladi. Mening sirli tilni bilishim ularning dardiga darmon bo’lib qoldi.,,
DARMON OLMOQ,kim?,"kuch yig’moq, ahvoli yaxshilanmoq.",,,,,,,"Ehe, ko’rkam lagerning, Quchog’ida ko’p jonlar. Yangi o’quv yiligacha, Quvnab olur darmonlar.",,
DARMONDAN QOLMOQ,kim?,betobligi sababli asta-sekin kuch-quvvati kamaydi.,,,,,darmonga; kirmoq,,"U o’zining darmondan ketayotganini sezar va shuning uchun «Men o’libnetib qolsam, bolam bechoraning holi nima bo’ladi?» – deb vahimaga tushar, bu to’g’rida Xolmurodga hech gapirmasdi.",P.Tursun,O’qituvchi
DARMONGA KIRMOQ,kim?,sog’aya boshlagani sababli asta-sekin kuch-quvvati qo’shildi. Antonimi,,,,,dar­mondan ketmoq,,"Ikki martaba odam yuborganimda, xotini unamabdi, «Hali darmonga kirgani yo’q, uziladi», debdi. Anorxon tug’ruqxonadan kelgandan keyin darmonga kira olmadi",A.Muxtor,Oksana
DARMONI QURIMOQ,kimning?,"kuch-quvvati, madori qolmadi, madorsizlandi.",,,,,,,Kech kirdi. Darmonlar quridi. Qorinlar och. Qani endi issiq ovqat bo’lsa?,J.Sharipov,Xorazm
DAROMADI USHSHOQ,,biror maqsadni anglatish uchun shu maqsad atrofida uzoqdan gap boshlamoq.,,,,,,,Bu gaplarni eshitib terimga sig’may ketdim. Hamisha qo’llaringiz baland bo’lsin! Yuqoridagi gaplarim daromadi ushshoq. Vazifa e’tibori bilan endi gapni boshqa tomonga burishga majburman.,Mushtum.,
DAROMADGA YARASHA BUROMAD,,holiga qarab sarflamoq.,,,,,,,"Zero, kuyov bolangiz kichkina emas. Biror ming tun ketishi bu yerda turgan gap. Albatta to’yga kelganlarning qo’llari quruq bo’lmas… Haram xonimlari bo’lsa yuz tillalik sarposiz kelmaslar, qizingizga cho’ri hadya qilsalar ham ajab emas. Albatta, daromadga yarasha buromad, degan gap bor.",A.Qodiriy,Mehrobdan chayon
DARS BERMOQ,kim? kimga?,o’quv yurtida mashg’ulot olib bormoq.,1,,,,,,U kuni men Fransiyadan kelgan mehmonlar bilan gaplashib qoldim. Bittasi universitetda dars berar ekan. Maktabda fizikadan dars bergan Mahkam akaning kiyinishi odatdagiday odmi edi.,T.Malik,Charxpalak
DARS BERMOQ,kim? kimga?,o’rgatishga qodir bo’lmoq.,2,,,,,,Bo’stonmi? Tegirmondan butun chiqadi. Yuzta yigitga dars beradi.,S.Nazar,Yashil boylik
DARS BO’LMOQ,kimga?,"tajribadan kelajak uchun chiqarilgan foydali natija, ibrat, saboq.",,,,,,,Kechagi voqea unga yaxshi dars bo’ldi…,,
DARS OLMOQ,kim? kimdan? yoki nimadan?,o’rganmoq.,1,,,,,,"Bo’taboy… o’qishga juda astoydil bo’lib, ba’zi kechalari O’rmonjonning uyiga borib, qo’shimcha dars ola boshladi",A.Qahhor,Qo’shchinor chiroqlari
DARS OLMOQ,kim? kimdan? yoki nimadan?,"savoq olmoq, kamchiliklarini tuzatish uchun tajriba hosil qilmoq",2,,,,,,"Har bir qoqilgan o’rnim, olgan zarbalarimdan o’zim uchun hayotiy dars oldim.",Gazetadan.,
– DARU DUNYO(SI)NI QORONG’I QILIB YUBORMOQ,nima? kimning?,"xafaqon, o’ta darajada g’amgin bo’lmoq.",,,DARU DUNYO(SI) QORONG’I BO’LDI,daru dunyo(si); qorong’ilashib ketdi; dunyo(si)ni qorong’ilashtirib yu­bor­moq,,,"– nima? kimning? Busiz ham kuni bo’yi ko’ngli g’ash, daru dunyosi qorong’i bo’lib yurgan Farog’at beixtiyor nimchasining tugmalarini soldi-da, havoga qaradi. Bir parcha qog’ozdagi ikki og’iz so’z kishini shunchalar intizor qilib, o’ziga asir qilganini qarang-a. Kishining daru dunyosini qorong’i qilib yuboradi-ya.",R.Fayziy,Chanoqqa tomgan qon
DARU DUNYO(SI) QORONG’I,kimning?,"xafaqon, o’ta darajada g’amgin.",,,,"ich(i)ga chiroq yoqsa, yorimaydi",,,"Qimmatli Azimjon aka, boshingizga tushgan kulfatga sherikman. Men sababli aziyat chekyapsiz. Eshitganimdan beri daru dunyoyim qorong’i, ig’vogarlar maqsadlariga erishdi.",,
DUNYO(SI)NI QORONG’ILASHTIRIB YUBORMOQ,nima? kimning?,"xafaqon, o’ta darajada g’amgin bo’lmoq.",,,DARU DUNYO(SI) QORONG’ILASHIB KETDI,daru dunyo(si) qorong’i; bo’ldi; daru dunyo(si)ni qorong’i qilib yubormoq; daru dunyo(si)ni qorong’i qilib; darvoza(si)ning turmini buzdarvoza(si)ning turmini tesh,,,"– nima? kimning? Kampirning ko’ziga hech narsa ko’rinmadi. Sirdaryo suvini ikki terak bo’yi balandlikka ko’tarib turgan bosh to’g’on ustidan o’tib ketganini ham sezmadi. Daru dunyosi qorong’ilashib ketdi lentaning oxirida «Sen meni qiziqtirmaysan» mazmunidagi so’zlar uchrardi va dunyosini qorong’ilashtirib, hamma fikrlarini chalkashtirib yuborar edi.",P.Qodirov,Uch ildiz
DARXON ETMOQ (yoki QILMOQ),,"muayyan ish, mansab yoki jismoniy mehnatdan ozod qilmoq; bo’shatmoq.",,,,,,,Bosh vazirni mansabidan darxon etolmasligini Isfandiyor biladi.,S.Siyoyev,Avaz
DARYODAN BIR TOMCHI,,qolgan qismiga nisbatan mutlaqo oz.,,,,,,,Bu aytganlarim daryodan bir tomchigina. Lekin ularning u ro’zadan bu ro’zaga beradigan sadaqasi daryodan tomchi emasmi?!,H.Nazir,So’nmas chaqmoqlar
DARYOGA OBORIB SUG’ORMAY KELMOQ,kim? kimni,"? aldamoq, hiyla ishlatmoq, juda ayyor kishilarga nisbatan qo’llanadi.",,,,,,,"– Unday demang, Хudo haqqi, unday demang! Savdo masalasida to’g’ri, yuz kishini daryoga oborib, sug’ormay qaytarib kelishim mumkin. Lekin siyosat masalasida – yo’q. Qo’liga tushib qolsangiz, qorani oq, oqni qora qilib o’tkazadi, imoni yo’qlar! Daryoning labiga olib borib, quruq olib kelishadi.",S.Abduqahhorov,Qo’shnilar
DASTAK BO’LMOQ,,bahona bo’lmoq.,,,,,,,Homidning bu gapi unga katta dastak bo’ldi.,A.Qahhor,Sarob
DASTAK QILMOQ,,bahona qilmoq.,,,,,,,Mahkamaga borib Hakim boyvachchaning obro’sini dastak qilaman.,,
DASTMOYA BO’LMOQ,,bahona topilmoq,,,,,,,. Bultur ishimning o’ngidan kelmagani bu yil sizga dastmoya bo’lib qoldimi!,N.Safarov,Oliyaxon Sultonova
DASTURXON QILMOQ,,mehmonga yoki to’yga borganda olib boriladigan narsalar;,1,,,,,,"Qaynonam ovsinimga mehmonga borish uchun dasturxon qilishni aytib, o’zi qo’shnining oldiga chiqib ko’ngil yozdi.",,
DASTURXON QILMOQ,,"bir gapni har qayerlarda har kimlarga gapirib, doston qilib yurmoq",2,,,,,,". Siz kimga yaxshi ko’rinmoqchi edingiz, yolg’on gapni dasturxon qilib yuribsiz?",P.Qodirov,Qadrim
DASTURXON TUZAMOQ,,"mehmon kutganda, dasturxonga har xil narsalarni qo’ymoq.",,,,,,,"Bir zumdan keyin yana qaytib kirdida: «Qozi, imom, ellikboshi sovchilikka kelibdi, darrov dasturxon tuzanglar» dedi.",M.Ismoiliy,Farg’ona tong otguncha
DASTURXONGA QARAB O’TIRING,,dasturxonga qo’yilgan narsalardan yeb o’tirishga undash.,,,,,,,"«Saidaxon, dasturxonga qarab o’tirsangiz-chi!» deb qistab qo’yib, yana o’tmishdagi xizmatlardan gap ochdi.",A.Qahhor,Sinchalak
DASTYORI BEMINNAT,,"oilada qo’ldan kelgan ishni bajarib, kattalarning og’irini yengil qiluvchi bola.",,,,,,,"Bolalaringiz ham dastyori beminnat bo’lib qolibdimi deyman, Sobir aka. – Ha, nimasini aytasiz...",,
DAVLAT YIG’MOQ,kim?,boyimoq.,,,,,,,"...yer-suv orttir, davlat orttir, uylan-joylan, Ibrat olgil yon qo’shnimiz Sharif boydan.",,
DAVLAT(LARI)NING SOYASI,,"himoyasi ostida, rahnamoligida.",,,davlat(lari) soyasida; soya(lari)da,,,,"Ha, shu davlatingizning soyasida yuribmiz, taqsir. Yo’g’-e, davlatlari soyasida, inshoollo! Biz bo’lsak soyangizda rizqimizni terib yeb yuraveraylik!",S.Anorboyev,Oqsoy
DAVOSINI TOPMOQ,,"ilojini qilmoq; tuzalmoq, sog’aymoq.",,,,,,,"– Hozir davosini topaman, – dedi-da, do’konga yugurdi",I.Rahim,Ixlos
DAVR SURMOQ,kim?,(«hukmdor») hukmronlik qilib rohat-farog’atda yashamoq.,1,,davr(i)ni surmoq,,,,Xo’p podsholar davr surgan ekanda-ya!,P.Tursun,O’qituvchi
DAVR SURMOQ,kim?,"o’z erki bilan yashab, mehnatining natijasidan to’liq bahramand bo’lmoq.",2,,davr(i)ni surmoq,,,,"Zomin tog’larining ko’m-ko’k yonbag’irlari, ko’z ilg’amas yerlargachayin etak yoygan maysalari chorvadorlarning umr bo’yi davr surgan bo’stonidir. Zamon yoshlarniki. Davrini surib, qandini urishaversin.",I.Rahim,Ixlos
